Year,Month,Day,Price,Type
2011,6,17,2600,1
2011,7,4,2000,1
2011,6,29,2500,1
2011,7,15,1800,1
2011,7,8,1920,1
2011,7,12,1800,1
2011,7,7,1900,1
2011,7,27,1700,1
2011,7,22,1780,1
2011,7,19,1800,1
2011,8,4,1700,1
2011,8,1,1700,1
2011,8,12,1920,1
2011,8,16,2200,1
2011,8,10,1900,1
2011,8,30,2600,1
2011,8,26,2400,1
2011,8,22,2200,1
2011,9,9,2660,1
2011,9,7,2700,1
2011,9,5,2500,1
2011,9,22,2800,1
2011,9,16,2740,1
2011,9,15,2800,1
2011,10,4,3000,1
2011,9,29,300,1
2011,10,19,3500,1
2011,10,17,2900,1
2011,10,7,3000,1
2011,11,8,3500,1
2011,11,3,3600,1
2011,10,25,3600,1
2011,11,18,3200,1
2011,11,15,3700,1
2011,11,10,3600,1
2011,11,30,3400,1
2011,11,28,3200,1
2011,11,23,3500,1
2011,11,18,3580,1
2011,12,8,3500,1
2011,12,5,3600,1
2011,12,23,3680,1
2011,12,30,3675,1
2011,12,27,3800,1
2012,1,4,4200,1
2012,1,17,4700,1
2012,1,12,4700,1
2012,1,9,4700,1
2012,1,27,4200,1
2012,1,25,4300,1
2012,1,20,4500,1
2012,2,9,2800,1
2012,2,6,4000,1
2012,2,1,4000,1
2012,2,21,4000,1
2012,2,16,4000,1
2012,2,10,4000,1
2012,3,2,3920,1
2012,2,28,4000,1
2012,2,24,4000,1
2012,3,14,4800,1
2012,3,9,4120,1
2012,3,6,4000,1
2012,3,27,5000,1
2012,3,22,5000,1
2012,3,20,4800,1
2012,4,11,4800,1
2012,4,3,4200,1
2012,4,23,4800,1
2012,4,19,4700,1
2012,4,16,4500,1
2012,5,4,5275,1
2012,4,27,5040,1
2012,4,25,5200,1
2012,5,16,5200,1
2012,5,14,5300,1
2012,5,9,5400,1
2012,5,31,3000,1
2012,5,25,4900,1
2012,5,25,4200,1
2012,5,18,4800,1
2012,6,12,4200,1
2012,6,7,3800,1
2012,5,31,3325,1
2012,6,27,3000,1
2012,6,25,3800,1
2012,6,20,3800,1
2012,7,12,3000,1
2012,6,29,3160,1
2012,7,5,2900,1
2012,7,2,3000,1
2012,7,25,3200,1
2012,7,19,2800,1
2012,7,16,2900,1
2012,8,9,3500,1
2012,8,6,2800,1
2012,8,1,2900,1
2012,8,27,3200,1
2012,8,22,3100,1
2012,8,16,300,1
2012,8,13,2800,1
2012,9,3,3300,1
2012,8,29,3300,1
2015,12,10,2100,1
2016,2,5,2200,1
2016,1,29,2000,1
2016,1,13,2100,1
2016,3,4,2400,1
2016,2,16,2000,1
2016,2,11,2000,1
2016,3,23,2200,1
2016,3,17,2500,1
2016,3,9,2400,1
2016,4,11,2800,1
2016,4,6,2400,1
2016,4,1,2300,1
2016,3,29,2300,1
2016,5,5,3200,1
2016,4,28,2900,1
2016,4,13,3000,1
2016,5,23,3000,1
2016,5,17,3000,1
2016,5,12,3200,1
2016,6,13,2700,1
2016,6,8,2700,1
2016,5,31,2700,1
2016,5,26,3000,1
2016,7,1,2200,1
2016,6,21,2700,1
2016,6,15,2700,1
2016,7,29,2400,1
2016,7,26,2400,1
2016,7,14,2200,1
2016,9,13,2500,1
2016,9,5,2500,1
2016,8,26,2400,1
2016,10,18,3200,1
2016,11,12,3000,1
2016,9,30,3000,1
2016,9,21,3200,1
2016,11,4,3000,1
2016,11,1,3200,1
2016,10,24,3000,1
2016,12,13,2800,1
2016,12,7,2600,1
2016,11,25,2700,1
2016,1,12,2800,1
2016,12,22,2600,1
2016,12,15,2800,1
2017,1,17,3000,1
2017,2,15,3000,1
2017,2,1,3000,1
2017,1,20,3200,1
2017,3,22,3200,1
2017,2,28,3000,1
2017,2,22,3200,1
2017,4,27,3500,1
2017,4,20,3200,1
2017,3,31,3200,1
2017,3,7,2200,1
2017,6,28,2300,1
2017,6,22,2700,1
2017,6,19,2200,1
2017,7,28,1800,1
2017,7,24,1800,1
2017,7,6,2000,1
2017,8,29,2000,1
2017,8,14,1800,1
2017,8,4,1800,1
2017,10,4,1800,1
2017,9,25,1600,1
2017,9,5,1600,1
2017,8,31,1800,1
2017,10,16,1700,1
2017,10,10,1700,1
2017,10,5,1700,1
2017,11,10,1800,1
2017,11,3,1800,1
2017,10,30,2000,1
2017,11,29,1600,1
2017,11,23,1800,1
2017,11,22,1800,1
2017,11,14,1800,1
2017,12,15,1800,1
2017,12,6,1800,1
2017,12,1,1800,1
2018,1,4,2000,1
2018,12,29,2000,1
2018,12,22,1800,1
2018,2,1,2000,1
2018,1,17,2000,1
2018,1,12,2000,1
2018,1,9,2000,1
2018,2,19,2000,1
2018,2,13,2000,1
2018,2,2,1800,1
2018,3,5,2500,1
2018,2,28,2250,1
2018,2,23,2000,1
2018,3,20,2300,1
2018,3,15,2200,1
2018,3,12,2200,1
2018,4,11,2200,1
2018,4,5,2350,1
2018,3,27,2200,1
2018,5,2,3000,1
2018,4,25,2500,1
2018,4,20,2250,1
2018,4,17,2200,1
2018,5,21,2750,1
2018,5,11,2750,1
2018,5,8,2500,1
2018,6,18,2000,1
2018,6,12,1800,1
2018,6,7,1800,1
2018,7,5,2200,1
2018,6,29,2000,1
2018,6,25,2000,1
2018,6,20,1800,1
2018,7,11,2000,1
2018,7,7,1800,1
2018,7,4,2200,1
2018,7,30,2200,1
2018,7,23,2200,1
2018,7,18,2000,1
2018,8,14,3000,1
2018,8,9,3000,1
2018,8,6,2300,1
2018,8,1,2300,1
2018,9,10,3000,1
2018,8,24,3000,1
2018,8,16,3000,1
2018,10,30,3000,1
2018,9,28,3000,1
2018,9,21,2800,1
2018,11,15,2500,1
2018,11,8,2500,1
2019,3,20,2900,1
2019,1,18,2050,1
2019,5,14,4500,1
2019,5,20,4500,1
2019,4,1,2500,1
2011,6,23,2600,2
2011,6,28,2500,2
2011,7,1,2100,2
2011,7,6,2000,2
2011,7,11,1900,2
2011,7,14,1900,2
2011,7,19,1800,2
2011,7,22,1800,2
2011,7,27,1700,2
2011,8,1,1700,2
2011,8,4,1800,2
